nord,est,id
29.849491,31.255061,1
30.1223455,31.1339825,2
30.96715,30.774367,3
31.0882220246915,30.9505891799927,4
31.033655,30.4707825,5
30.552892,32.099321,6
30.913368,31.2387955,7
30.4725912552293,31.1844185250811,8
30.683333,31.35,9
30.9641295,31.239982,10
30.1294092927435,31.3075160980225,11
30.9758406667,31.874266,12
31.037798,31.379406,13
31.2597699896334,31.5712738030561,14
30.570778340258,31.5148401260376,15
24.09,32.889,16
25.0480345,32.7824705,18
25.7003868365747,32.639831006527,19
25.996402,32.815787,20
26.141775,32.6700972222,21
26.016881,32.312497,22
26.1859907667,31.91627145,23
26.5648875,31.7451755,24
26.8992835,31.517443,25
27.146592,31.234697,26
27.181346,31.1825335,27
27.7796202493,30.8035806072,28
28.479495,30.782897,29
28.766518,30.916624,30
28.542574,30.65172,31
29.0857433333,30.936518,32
29.3149635,30.8399565,33
29.408419,31.25167,34
30.9356335,31.5168555,35
31.041874,32.5397,36
30.7709265,31.004611,37
31.1982456667,29.9079146667,38
31.12039,30.375411,39
31.20015375,30.7440385,40
30.9787497087393,32.1745777130127,41
30.896044,31.234453,42
30.734257,31.620556,43
30.720511,31.672164,44
30.411529,30.851018,45
31.289517,30.858433,46
31.090569,30.74459,47
31.158072,31.936,48
30.7484009971454,30.6706523895264,49
30.8830010155219,30.9656524658203,50
30.466430433698,30.9345817565918,51
31.13965,30.192032,52
27.8105625,30.8810025,53
32.708807,20.9507545,54
25.854553,32.710142,55
27.438183,30.817991,56
29.529099,30.8214,57
25.29355461,32.55649131,58
26.059231,32.307667,64
26.0996985,32.38018,66
26.1498853333,32.7018756667,67
26.1125346,32.4029556,68
25.6223350850002,32.5435638427734,70
24.0946215,32.8764433,72
27.5511327,30.7083435,73
29.193771,30.876986,74
29.8661609185788,31.2192982435226,75
30.75,30.25,76
30.75,30.25,77
30.776003,30.368868,78
28.84561505,32.5509023,79
28.923889,32.35,80
25.7321668373606,32.6021701097488,82
26.0488019,32.238122,83
23.9103,35.4737,84
27.716657,30.883335,86
25.7199908636951,32.6004803180695,87
25.734239,32.710172,88
31.11593,33.430636,89
25.9,32.716666,90
26.856142,31.22027,91
27.0326234390701,31.233417391777,92
27.444444,30.816667,93
27.1623228148716,31.1726848036051,94
24.9742321800223,32.8398513793945,95
24.025031,32.884252,96
24.1801823097927,32.8644043207169,97
24.103476,32.890414,98
29.270347,30.598744,99
28.910537,30.506483,100
29.107063,30.762808,101
26.1717696769669,32.4155902862549,102
26.341487,31.841893,103
29.191783,30.641461,104
29.541142,31.008467,105
29.5164395,30.897603,106
29.5334745,30.668916,107
27.787299,30.906827,108
